Source Target
RplJ RpmGA
RplJ RpmEB
RplJ RplL
RplJ RpmH
RplJ RplE
RplJ RplV
RplJ RpmJ
RplJ RplK
RplJ RplC
SigG RpoC
SigG SpoIIAB
SigG RpoB
RplW RpsNB
RplW RplX
RplW RpmI
RplW RplT
RplW RpmD
RplW RpmF
RplW RplB
RplW RpmB
RplW RplR
RplW RplM
RplW Tig
RplW RpmGB
RplW RplO
RplW RplP
RplW RpmGA
RplW RpmEB
RplW RplL
RplW RpmH
RplW RplE
RplW RplV
RplW RpmJ
RplW RplK
RplW RplC
RpoY RpoE
RpoY MgsR
RpoY GreA
RpoY NusA
RpoY YlyA
RpoY RpoC
RpoY PcrA
RpoY CshA
RpoY Btr
RpoY RpoB
YbdJ YbdK
AcoB AcoA
AcoB AcoC
QueF QueF
OpuAB OpuAA
GerAB GerBC
GerAB GerKB
GerAB GerKC
GerAB GerBB
GerAB GerAC
GerAB GerKA
GerAB GerAA
FliJ FlhA
RodZ MreC
RodZ Mbl
RodZ SpoIIE
RodZ PbpH
RodZ YrrS
RodZ MreB
RodZ RodA
ComX ComQ
PtkA SalA
PtkA TkmA
NarH NarG
FloT FloT
FloT KinC
FloT FtsX
FloT ResE
FloT YuaF
YmaF HolA
RpsNB RplX
RpsNB RpmI
RpsNB RplT
RpsNB RpmD
RpsNB RpmF
RpsNB RplB
RpsNB RpmB
RpsNB RplR
RpsNB RplM
RpsNB RpmGB
RpsNB RplO
RpsNB RplP
RpsNB RpmGA
RpsNB RpmEB
RpsNB RplL
RpsNB RpmH
RpsNB RplE
RpsNB RplV
RpsNB RpmJ
RpsNB RplK
RpsNB RplC
RsbR YtvA
RsbR RsbS
RsbR RsbX
RsbR RsbRD
RsbR RsbT
RsbR RsbRB
TagU MreB
ArtQ ArtR
ArtQ ArtP
RpoE MgsR
RpoE GreA
RpoE NusA
RpoE YlyA
RpoE RpoC
RpoE PcrA
RpoE CshA
RpoE RpoB
SigO RsoA
SigO RpoB
CotV CgeA
CotV CotY
CotV CotZ
PhoP PhoP
PhoP PhoR
GlnR GlnA
Des YkuP
PnpA PnpA
PnpA Rny
PnpA PfkA
PnpA CshA
RibU YbaF
PdxS PdxT
YeeF YezG
CotJA CotJC
DnaE DnaX
DnaE RecO
DnaE DnaN
DnaE SsbA
DnaE RecA
DnaE MutL
DnaE DnaI
DnaE PriA
DnaE RecR
DnaE DnaD
DnaE HolA
DnaE HolB
DnaE MutS
DnaE RecF
DnaE DnaG
DnaE PolC
LicB LicC
LicB LicR
LicB LicA
MotS MotS
UvrC UvrB
AcsA SrtN
SpoVID CotE
SpoVID SpoIVA
SpoVID SpoVM
SpoVID SafA
ThdF GidA
SatA SatA
FtsA PlsX
DnaA DnaA
DnaA DnaN
DnaA YabA
DnaA DnaI
DnaA DnaD
DnaA YqaH
DnaA DnaG
SsuB SsuC
SsuB SsuA
Eno Eno
Eno Rny
Eno PfkA
Eno YacC
GanQ MsmX
GanQ GanP
GanQ GanS
SacT SacP
BmrC BmrD
ArtR ArtP
MalR MalK
FlhB FlhA
GlnA GlnA
GlnA TnrA
GlnA NrgB
TagT MreB
MreC PbpH
MreC MreB
MreC RodA
MreC GpsB
YkoG YkoH
MgsR GreA
MgsR NusA
MgsR YlyA
MgsR RpoC
MgsR PcrA
MgsR CshA
MgsR Btr
MgsR RpoB
FliW CsrA
FliW Hag
PycA PycA
PycA BirA
CheA CheW
CheA CheC
CheA McpB
CotR CotR
YjkA YjkB
YtvA YtvA
YtvA RsbS
YtvA RsbRD
YtvA RsbT
YtvA RsbRB
YlbF Spo0B
YlbF YaaC
YlbF Rny
YlbF Spo0F
YlbF YaaT
YlbF YmcA
SpoIISB SpoIISA
TsaB TsaE
GlnM GlnH
GlnM GlnP
AtpE AtpF
AtpE AtpC
AtpE AtpB
AtpE AtpA
AtpE AtpH
PyrR PyrR
Mbl MreB
FliP FliR
FliP FliQ
FliP FliZ
PrsA PrsA
PftA PftB
YxeB FhuD
YxeB FhuC
YxeB FhuG
SigKC RpoC
GreA NusA
GreA YlyA
GreA RpoC
GreA PcrA
GreA CshA
GreA Btr
GreA RpoB
SigD RpoC
SigD RpoB
SigD FlgM
YckB McpC
YhcH YhcI
YvrHb YvrG
OpuBB OpuBC
YwrA YwrB
YknU YknV
YdaK YdaM
YdaK YdaN
GlmR PrpC
NupO NupQ
CtaC ScoB
CtaC CtaE
YvfS YvfR
CotA CotA
CotA CgeA
CotA YknT
CotA CotY
